$42.80	$85.60	20,000.00
$44.10	$88.20	200,000.00
$45.50	$91.00	40,000.00
$46.00	$92.00	66,666.67
$46.50	$93.00	200,000.00
$46.80	$93.60	20,000.00
$47.50	$95.00	100,000.00
$47.70	$95.40	100,000.00
$48.50	$97.00	200,000.00
$48.70	$97.40	200,000.00
$50.00	$100.00	4,878.05
$52.50	$105.00	100,000.00
$56.50	$113.00	200,000.00
$59.50	$119.00	200,000.00
$60.50	$121.00	100,000.00
$62.70	$125.40	200,000.00
$63.00	$126.00	200,000.00
$64.50	$129.00	100,000.00
$66.70	$133.40	200,000.00
$68.50	$137.00	200,000.00
$70.00	$140.00	100,000.00
$72.00	$144.00	200,000.00
$81.00	$162.00	100,000.00
$100.00	$200.00	166,666.67
$132.00	$264.00	500,000.00
$140.00	$280.00	1,000,000.00
$143.00	$286.00	200,000.00
$200.00	$400.00	20,000.00
$500.00	$1,000.00	1,000,000.00
$1,000.00	$2,000.00	2,000,000.00
