$1.84	$4.60	$9.20	$18.40	6,578.95
$1.88	$4.70	$9.40	$18.80	6,802.72
$1.92	$4.80	$9.60	$19.20	7,117.44
$1.96	$4.90	$9.80	$19.60	7,434.94
$2.00	$5.00	$10.00	$20.00	139.05
$2.04	$5.10	$10.20	$20.40	2,663.12
$2.08	$5.20	$10.40	$20.80	2,670.23
$2.12	$5.30	$10.60	$21.20	2,710.03
$2.16	$5.40	$10.80	$21.60	2,732.24
$2.20	$5.50	$11.00	$22.00	3,236.25
$2.24	$5.60	$11.20	$22.40	3,861.00
$2.28	$5.70	$11.40	$22.80	3,898.64
$2.32	$5.80	$11.60	$23.20	3,944.77
$2.36	$5.90	$11.80	$23.60	3,921.57
$2.40	$6.00	$12.00	$24.00	2,515.72
$2.44	$6.10	$12.20	$24.40	2,886.00
$2.48	$6.20	$12.40	$24.80	2,902.76
$2.52	$6.30	$12.60	$25.20	2,906.98
$2.56	$6.40	$12.80	$25.60	2,971.77
$2.60	$6.50	$13.00	$26.00	2,306.81
$2.64	$6.60	$13.20	$26.40	2,998.50
$2.68	$6.70	$13.40	$26.80	3,016.59
$2.72	$6.80	$13.60	$27.20	3,034.90
$2.76	$6.90	$13.80	$27.60	3,067.48
$2.80	$7.00	$14.00	$28.00	2,227.17
$2.84	$7.10	$14.20	$28.40	3,076.92
$2.88	$7.20	$14.40	$28.80	3,095.98
$2.92	$7.30	$14.60	$29.20	3,115.26
$2.96	$7.40	$14.80	$29.60	3,134.80
$3.00	$7.50	$15.00	$30.00	365.63
$3.20	$8.00	$16.00	$32.00	2,758.62
$3.40	$8.50	$17.00	$34.00	2,971.77
$3.60	$9.00	$18.00	$36.00	3,205.13
$3.80	$9.50	$19.00	$38.00	3,558.72
$4.00	$10.00	$20.00	$40.00	1,042.21
$4.20	$10.50	$21.00	$42.00	28,571.43
$4.40	$11.00	$22.00	$44.00	5,025.13
$4.60	$11.50	$23.00	$46.00	33,333.33
$4.80	$12.00	$24.00	$48.00	7,547.17
$5.00	$12.50	$25.00	$50.00	1,384.08
$5.20	$13.00	$26.00	$52.00	8,849.56
$5.40	$13.50	$27.00	$54.00	4,444.44
$5.60	$14.00	$28.00	$56.00	9,302.33
$5.80	$14.50	$29.00	$58.00	9,009.01
$6.00	$15.00	$30.00	$60.00	477.21
$6.40	$16.00	$32.00	$64.00	2,024.29
$6.80	$17.00	$34.00	$68.00	2,816.90
$7.00	$17.50	$35.00	$70.00	8,810.57
$7.20	$18.00	$36.00	$72.00	14,184.40
$7.60	$19.00	$38.00	$76.00	15,625.00
$8.00	$20.00	$40.00	$80.00	2,773.93
$8.20	$20.50	$41.00	$82.00	17,857.14
$8.40	$21.00	$42.00	$84.00	6,430.87
$8.60	$21.50	$43.00	$86.00	6,734.01
$8.80	$22.00	$44.00	$88.00	7,272.73
$9.00	$22.50	$45.00	$90.00	5,141.39
$9.60	$24.00	$48.00	$96.00	7,547.17
$10.00	$25.00	$50.00	$100.00	2,635.05
$11.00	$27.50	$55.00	$110.00	7,518.80
$12.00	$30.00	$60.00	$120.00	6,872.85
$13.00	$32.50	$65.00	$130.00	8,230.45
$13.80	$34.50	$69.00	$138.00	41,666.67
$14.12	$35.30	$70.60	$141.20	2,000,000.00
$14.40	$36.00	$72.00	$144.00	86,956.52
$15.00	$37.50	$75.00	$150.00	71,428.57
$16.00	$40.00	$80.00	$160.00	181,818.18
$17.80	$44.50	$89.00	$178.00	1,000,000.00
$18.00	$45.00	$90.00	$180.00	2,000,000.00
$18.40	$46.00	$92.00	$184.00	666,666.67
$20.00	$50.00	$100.00	$200.00	2,000,000.00
$20.20	$50.50	$101.00	$202.00	2,000,000.00
$24.00	$60.00	$120.00	$240.00	2,000,000.00
$25.00	$62.50	$125.00	$250.00	400,000.00
$30.00	$75.00	$150.00	$300.00	2,000,000.00
$32.00	$80.00	$160.00	$320.00	2,000,000.00
$37.60	$94.00	$188.00	$376.00	2,000,000.00
$40.00	$100.00	$200.00	$400.00	1,000,000.00
$90.00	$225.00	$450.00	$900.00	1,000,000.00
$100.00	$250.00	$500.00	$1,000.00	2,000,000.00
